SampleID	host_common_name
Alouatta-seniculus_Asen1111_GAGTGG_L001_001_filtered_r1r2combined	howler monkey
Alouatta-seniculus_Asen685_GTTTCG_L001_001_filtered_r1r2combined	howler monkey
Alouatta-seniculus_AsenLink1_ACTGAT_L001_001_filtered_r1r2combined	howler monkey
Alouatta-seniculus_AsenLink2_ATTCCT_L001_001_filtered_r1r2combined	howler monkey
Alouatta-seniculus_AsenLink3_ATCACG_L002_001_filtered_r1r2combined	howler monkey
Alouatta-seniculus_AsenLink4_CGTACG_L001_001_filtered_r1r2combined	howler monkey
Ateles-belzebuth_AtbelzLink1_CGATGT_L002_001_filtered_r1r2combined	white-bellied spider monkey
Ateles-belzebuth_AtbelzLink2_TTAGGC_L002_001_filtered_r1r2combined	white-bellied spider monkey
Ateles-belzebuth_AtbelzLink3_TGACCA_L002_001_filtered_r1r2combined	white-bellied spider monkey
Ateles-belzebuth_AtbelzLink4_ACAGTG_L002_001_filtered_r1r2combined	white-bellied spider monkey
Ateles-belzebuth_AtbelzLink5_GCCAAT_L002_001_filtered_r1r2combined	white-bellied spider monkey
Colobus-guereza_BWC2023_GTCCGC_L002_001_filtered_r1r2combined	mantled guereza
Colobus-guereza_BWC2026_GTGAAA_L002_001_filtered_r1r2combined	mantled guereza
Colobus-guereza_BWC2061_GTGGCC_L002_001_filtered_r1r2combined	mantled guereza
Colobus-guereza_BWC2063_GTTTCG_L002_001_filtered_r1r2combined	mantled guereza
Colobus-guereza_BWC2115_CGTACG_L002_001_filtered_r1r2combined	mantled guereza
Eulemur-rubriventer_ERUB_102M_ATTCCT_L002_001_filtered_r1r2combined	red-bellied lemur
Eulemur-rubriventer_ERUB_105M_CGATGT_L003_001_filtered_r1r2combined	red-bellied lemur
Eulemur-rubriventer_ERUB_10M_ATCACG_L003_001_filtered_r1r2combined	red-bellied lemur
Eulemur-rubriventer_ERUB_12M_ACTGAT_L002_001_filtered_r1r2combined	red-bellied lemur
