SampleID	sample_name_2	studyID	SampleID2	file_filtered_r1r2_combined	reads_per_file	species_id	host_phylum	host_class	host_family	host_genus	host_kingdom	host_order	host_species	host_common_name	host_flight	host_modality	host_diet	country	habitat	sample_type
Petromyzon_marinus	11166.lamprey.24365.lamprey	11166	Petromyzon-marinus_S_S_Temp_D701-AK1545_filtered_r1r2combined	Petromyzon-marinus_S_S_Temp_D701-AK1545_filtered_r1r2combined.fastq.gz	4517380	sea_lamprey.7	Chordata	Hyperoartia	Petromyzontidae	Petromyzon	Metazoa	Petromyzontiformes	Petromyzon marinus	sea lamprey	flightless					
Petromyzon_marinus	11166.lamprey.24373.lamprey	11166	Petromyzon-marinus_S_S_Temp_D702-AK1680_filtered_r1r2combined	Petromyzon-marinus_S_S_Temp_D702-AK1680_filtered_r1r2combined.fastq.gz	3990702	sea_lamprey.8	Chordata	Hyperoartia	Petromyzontidae	Petromyzon	Metazoa	Petromyzontiformes	Petromyzon marinus	sea lamprey	flightless					
Petromyzon_marinus	11166.lamprey.24380.lamprey	11166	Petromyzon-marinus_S_S_Temp_D701-AK1543_filtered_r1r2combined	Petromyzon-marinus_S_S_Temp_D701-AK1543_filtered_r1r2combined.fastq.gz	4159974	sea_lamprey.9	Chordata	Hyperoartia	Petromyzontidae	Petromyzon	Metazoa	Petromyzontiformes	Petromyzon marinus	sea lamprey	flightless					
Petromyzon_marinus	11166.lamprey.24392.lamprey	11166	Petromyzon-marinus_S_S_Temp_D702-AK1682_filtered_r1r2combined	Petromyzon-marinus_S_S_Temp_D702-AK1682_filtered_r1r2combined.fastq.gz	3550018	sea_lamprey.10	Chordata	Hyperoartia	Petromyzontidae	Petromyzon	Metazoa	Petromyzontiformes	Petromyzon marinus	sea lamprey	flightless					
Carollia_perspicillata	2338.0620.8.I	2338	Carollia-perspicillata_S_S_Temp_D709-AK1682_filtered_r1r2combined	Carollia-perspicillata_S_S_Temp_D709-AK1682_filtered_r1r2combined.fastq.gz	28354050	sebas_short-tailed_bat.1	Chordata	Mammalia	Phyllostomidae	Carollia	Metazoa	Chiroptera	Carollia perspicillata	Sebas short-tailed bat	flighted					
Carollia_perspicillata	2338.0623.9.I	2338	Carollia-perspicillata_S_S_Temp_D712-AK1544_filtered_r1r2combined	Carollia-perspicillata_S_S_Temp_D712-AK1544_filtered_r1r2combined.fastq.gz	122713288	sebas_short-tailed_bat.2	Chordata	Mammalia	Phyllostomidae	Carollia	Metazoa	Chiroptera	Carollia perspicillata	Sebas short-tailed bat	flighted					
Carollia_perspicillata	2338.0627.22.I2	2338	Carollia-perspicillata_S_S_Temp_D712-AK1546_filtered_r1r2combined	Carollia-perspicillata_S_S_Temp_D712-AK1546_filtered_r1r2combined.fastq.gz	8556874	sebas_short-tailed_bat.3	Chordata	Mammalia	Phyllostomidae	Carollia	Metazoa	Chiroptera	Carollia perspicillata	Sebas short-tailed bat	flighted					
Carollia_perspicillata	2338.0701.17.I	2338	Carollia-perspicillata_S_S_Temp_D709-AK1681_filtered_r1r2combined	Carollia-perspicillata_S_S_Temp_D709-AK1681_filtered_r1r2combined.fastq.gz	487862	sebas_short-tailed_bat.4	Chordata	Mammalia	Phyllostomidae	Carollia	Metazoa	Chiroptera	Carollia perspicillata	Sebas short-tailed bat	flighted					
Balaenoptera_borealis	13114.girguis.50.s012	13114	Balaenoptera-borealis_Girguis50_SeiF18_host_filtered_r1r2combined	Balaenoptera-borealis_Girguis50_SeiF18_host_filtered_r1r2combined.fastq.gz	18638342	sei_whale.1	Chordata	Mammalia	Balaenopteridae	Balaenoptera	Metazoa	Artiodactyla	Balaenoptera borealis	Sei Whale	flightless	marine	carnivore			
Balaenoptera_borealis	13881.SAMEA6809553	13881	Balaenoptera-borealis_SAMEA6809509.ebi_filtered_r1r2combined_sampleCombined	Balaenoptera-borealis_SAMEA6809509.ebi_filtered_r1r2combined_sampleCombined.fastq.gz	2104980	sei_whale.2	Chordata	Mammalia	Balaenopteridae	Balaenoptera	Metazoa	Artiodactyla	Balaenoptera borealis	sei whale				United Kingdom		feces
Geospiza_difficilis	11166.UM.24898.finch	11166	Geospiza-difficilis_S_S_Temp_D712-AK1682_filtered_r1r2combined	Geospiza-difficilis_S_S_Temp_D712-AK1682_filtered_r1r2combined.fastq.gz	5572612	sharpbeaked_ground_finch.1	Chordata	Aves	Thraupidae	Geospiza	Metazoa	Passeriformes	Geospiza difficilis	sharpbeaked ground finch	flighted					
Geospiza_difficilis	11166.UM.24994.finch	11166	Geospiza-difficilis_S_S_Temp_D712-AK1543_filtered_r1r2combined	Geospiza-difficilis_S_S_Temp_D712-AK1543_filtered_r1r2combined.fastq.gz	7967968	sharpbeaked_ground_finch.2	Chordata	Aves	Thraupidae	Geospiza	Metazoa	Passeriformes	Geospiza difficilis	sharpbeaked ground finch	flighted					
Ovis_aries	13881.SAMEA6809451	13881	Ovis-aries_SAMEA6809430.ebi_filtered_r1r2combined_sampleCombined	Ovis-aries_SAMEA6809430.ebi_filtered_r1r2combined_sampleCombined.fastq.gz	12068618	sheep.1	Chordata	Mammalia	Bovidae	Ovis	Metazoa	Artiodactyla	Ovis aries	sheep				Austria		feces
Calamanthus_cautus	13881.SAMEA6809534	13881	Calamanthus-cautus_SAMEA6809492.ebi_filtered_r1r2combined_sampleCombined	Calamanthus-cautus_SAMEA6809492.ebi_filtered_r1r2combined_sampleCombined.fastq.gz	4074146	shy_hylacola.1	Chordata	Aves	Acanthizidae	Hylacola	Metazoa	Passeriformes	Calamanthus cautus	Shy Hylacola				Australia		feces
Pteromys_volans	11166.AR.M18.flyingsquirrel	11166	Pteromys-volans_S_S_Temp_D707-AK1545_filtered_r1r2combined	Pteromys-volans_S_S_Temp_D707-AK1545_filtered_r1r2combined.fastq.gz	20495598	siberian_flying_squirrel.1	Chordata	Mammalia	Sciuridae	Pteromys	Metazoa	Rodentia	Pteromys volans	Siberian flying squirrel	flightless					
Pteromys_volans	11166.AR.M28.flyingsquirrel	11166	Pteromys-volans_S_S_Temp_D703-AK1546_filtered_r1r2combined	Pteromys-volans_S_S_Temp_D703-AK1546_filtered_r1r2combined.fastq.gz	10868686	siberian_flying_squirrel.2	Chordata	Mammalia	Sciuridae	Pteromys	Metazoa	Rodentia	Pteromys volans	Siberian flying squirrel	flightless					
