SampleID	host_phylum	host_class	host_family	host_genus	host_kingdom	host_order
Podarcis_siculus	Chordata	Lepidosauria	Lacertidae	Podarcis	Metazoa	Squamata
Aptenodytes_patagonicus	Chordata	Aves	Spheniscidae	Aptenodytes	Metazoa	Sphenisciformes
Sarcorhamphus_papa	Chordata	Aves	Cathartidae	Sarcorhamphus	Metazoa	Accipitriformes
Sarcoramphus_papa	Chordata	Aves	Cathartidae	Sarcoramphus	Metazoa	Ciconiiformes
Potos_flavus	Chordata	Mammalia	Procyonidae	Potos	Metazoa	Carnivora
Phascolarctos_cinereus	Chordata	Mammalia	Phascolarctidae	Phascolarctos	Metazoa	Diprotodontia
Ardeotis_kori	Chordata	Aves	Otididae	Ardeotis	Metazoa	Otidiformes
Equus_hemionus	Chordata	Mammalia	Equidae	Equus	Metazoa	Perissodactyla
Falco_biarmicus	Chordata	Aves	Falconidae	Falco	Metazoa	Falconiformes
Torgos_tracheliotus	Chordata	Aves	Accipitridae	Torgos	Metazoa	Accipitriformes
Torgos_tracheliotos	Chordata	Aves	Accipitridae	Torgos	Metazoa	Falconiformes
Eptesicus_sagittula	Chordata	Mammalia	Vespertilionidae	Eptesicus	Metazoa	Chiroptera
Mustela_nivalis	Chordata	Mammalia	Mustelidae	Mustela	Metazoa	Carnivora
Panthera_pardus	Chordata	Mammalia	Felidae	Panthera	Metazoa	Carnivora
Echinops_telfairi	Chordata	Mammalia	Tenrecomorpha	Echinops	Metazoa	Afrosoricida
Crocidura_suaveolens	Chordata	Mammalia	Soricidae	Crocidura	Metazoa	Eulipotyphla
Uroplatus_lineatus	Chordata	Reptilia	Gekkonidae	Uroplatus	Metazoa	Squamata
Panthera_leo	Chordata	Mammalia	Felidae	Panthera	Metazoa	Carnivora
Asio_otus	Chordata	Aves	Strigidae	Asio	Metazoa	Strigiformes
Hypogeomys_antimena	Chordata	Mammalia	Nesomyidae	Hypogeomys	Metazoa	Rodentia
Anas_platyrhynchos	Chordata	Aves	Anatidae	Anas	Metazoa	Anseriformes
Colobus_guereza	Chordata	Mammalia	Cercopithecidae	Colobus	Metazoa	Primates
Alouatta_palliata	Chordata	Mammalia	Atelidae	Alouatta	Metazoa	Primates
Vipera_ursinii	Chordata	Lepidosauria	Viperidae	Vipera	Metazoa	Squamata
Suricata_suricatta	Chordata	Mammalia	Herpestidae	Suricata	Metazoa	Carnivora
Tamandua_mexicana	Chordata	Mammalia	Myrmecophagidae	Tamandua	Metazoa	Pilosa
Trachycephalus_resinifictrix	Chordata	Amphibia	Hylidae	Trachycephalus	Metazoa	Anura
Crocodylus_moreletii	Chordata	Reptilia	Crocodylidae	Crocodylus	Metazoa	Crocodylia
Ovis_aries	Chordata	Mammalia	Bovidae	Ovis	Metazoa	Artiodactyla
Cygnus_olor	Chordata	Aves	Anatidae	Cygnus	Metazoa	Anseriformes
Rhacodactylus_leachianus	Chordata	Reptilia	Diplodactylidae	Rhacodactylus	Metazoa	Squamata
Crocodylus_niloticus	Chordata	Reptilia	Crocodylidae	Crocodylus	Metazoa	Crocodylia
Nyctalus_noctula	Chordata	Mammalia	Vespertilionidae	Nyctalus	Metazoa	Chiroptera
Eubalaena_glacialis	Chordata	Mammalia	Balaenidae	Eubalaena	Metazoa	Artiodactyla
Ichthyomyzon_fossor	Chordata	Petromyzontida	Petromyzontidae	Ichthyomyzon	Metazoa	Petromyzontiformes
Delichon_urbicum	Chordata	Aves	Hirundinidae	Delichon	Metazoa	Passeriformes
Esox_lucius	Chordata	Actinopteri	Esocidae	Esox	Metazoa	Esociformes
Tupaia_belangeri	Chordata	Mammalia	Tupaiidae	Tupaia	Metazoa	Scandentia
Papio_anubis	Chordata	Mammalia	Cercopithecidae	Papio	Metazoa	Primates
Struthio_camelus	Chordata	Aves	Struthionidae	Struthio	Metazoa	Struthioniformes
Lepidobatrachus_laevis	Chordata	Amphibia	Ceratophyridae	Lepidobatrachus	Metazoa	Anura
Lepus_tolai	Chordata	Mammalia	Leporidae	Lepus	Metazoa	Lagomorpha
Sander_lucioperca	Chordata	Actinopteri	Percidae	Sander	Metazoa	Perciformes
Cynomys_ludovicianus	Chordata	Mammalia	Sciuridae	Cynomys	Metazoa	Rodentia
Callosciurus_prevostii	Chordata	Mammalia	Sciuridae	Callosciurus	Metazoa	Rodentia
Callosciurus_prevosti	Chordata	Mammalia	Sciuridae	Callosciurus	Metazoa	Rodentia
Equus_ferus_przewalskii	Chordata	Mammalia	Equidae	Equus	Metazoa	Perissodactyla
Equus_przewalskii	Chordata	Mammalia	Equidae	Equus	Metazoa	Perissodactyla
Nycticebus_pygmaeus	Chordata	Mammalia	Lorisidae	Nycticebus	Metazoa	Primates
Equus_burchellii	Chordata	Mammalia	Equidae	Equus	Metazoa	Perissodactyla
Oryctolagus_cuniculus	Chordata	Mammalia	Leporidae	Oryctolagus	Metazoa	Lagomorpha
Procyon_lotor	Chordata	Mammalia	Procyonidae	Procyon	Metazoa	Carnivora
Nyctereutes_procyonoides	Chordata	Mammalia	Canidae	Nyctereutes	Metazoa	Carnivora
Geochelone_radiata	Chordata	Reptilia	Testudinidae	Geochelone	Metazoa	Testudines
Oncorhynchus_mykiss	Chordata	Actinopteri	Salmonidae	Oncorhynchus	Metazoa	Salmoniformes
Cervus_elaphus	Chordata	Mammalia	Cervidae	Cervus	Metazoa	Artiodactyla
Vulpes_vulpes	Chordata	Mammalia	Canidae	Vulpes	Metazoa	Carnivora
Pygathrix_nemaeus	Chordata	Mammalia	Cercopithecidae	Pygathrix	Metazoa	Primates
Buteo_jamaicensis	Chordata	Aves	Accipitridae	Buteo	Metazoa	Falconiformes
Eulemur_rubriventer	Chordata	Mammalia	Lemuridae	Eulemur	Metazoa	Primates
Nomascus_gabriellae	Chordata	Mammalia	Hylobatidae	Nomascus	Metazoa	Primates
Phasianus_colchicus	Chordata	Aves	Phasianidae	Phasianus	Metazoa	Galliformes
Lemur_catta	Chordata	Mammalia	Lemuridae	Lemur	Metazoa	Primates
Salmo_trutta	Chordata	Actinopteri	Salmonidae	Salmo	Metazoa	Salmoniformes
Rutilus_rutilus	Chordata	Actinopteri	Leuciscidae	Rutilus	Metazoa	Cypriniformes
Lagopus_muta	Chordata	Aves	Phasianidae	Lagopus	Metazoa	Galliformes
Corvus_frugilegus	Chordata	Aves	Corvidae	Corvus	Metazoa	Passeriformes
Gymnocephalus_cernua	Chordata	Actinopteri	Percidae	Gymnocephalus	Metazoa	Perciformes
Rusa_unicolor	Chordata	Mammalia	Cervidae	Rusa	Metazoa	Artiodactyla
Felis_margarita	Chordata	Mammalia	Felidae	Felis	Metazoa	Carnivora
Lacerta_agilis	Chordata	Lepidosauria	Lacertidae	Lacerta	Metazoa	Squamata
Petromyzon_marinus	Chordata	Petromyzontida	Petromyzontidae	Petromyzon	Metazoa	Petromyzontiformes
Carollia_perspicillata	Chordata	Mammalia	Phyllostomidae	Carollia	Metazoa	Chiroptera
Balaenoptera_borealis	Chordata	Mammalia	Balaenopteridae	Balaenoptera	Metazoa	Artiodactyla
Geospiza_difficilis	Chordata	Aves	Thraupidae	Geospiza	Metazoa	Passeriformes
Calamanthus_cautus	Chordata	Aves	Acanthizidae	Hylacola	Metazoa	Passeriformes
Pteromys_volans	Chordata	Mammalia	Sciuridae	Pteromys	Metazoa	Rodentia
Carassius_gibelio	Chordata	Actinopteri	Cyprinidae	Carassius	Metazoa	Cypriniformes
Blicca_bjoerkna	Chordata	Actinopteri	Leuciscidae	Blicca	Metazoa	Cypriniformes
Melursus_ursinus	Chordata	Mammalia	Ursidae	Melursus	Metazoa	Carnivora
Anguis_fragilis	Chordata	Lepidosauria	Anguidae	Anguis	Metazoa	Squamata
Ceratobatrachus_guentheri	Chordata	Amphibia	Ceratobatrachidae	Ceratobatrachus	Metazoa	Anura
Turdus_philomelos	Chordata	Aves	Turdidae	Turdus	Metazoa	Passeriformes
